name,evidence,condition,category,onetowatch,type,popularity,source,url,ignore,url of 2nd key study,key study source abstract (or summary notes),key study source abstract (or summary notes),key study source abstract (or summary notes),,,#,,,
lignans,0,,,,compound,0.09,,,X,,n/a,,,,,#,,,
lingzhi + san miao san,1,arthritis,musculoskeletal,,plant / herb,0.22,,http://www.ncbi.nlm.nih.gov/pubmed/17907228,,http://www.ncbi.nlm.nih.gov/pubmed/16873089,"""To examine the efficacy of popular Chinese herbs used in a traditional Chinese medicine (TCM) combination of Ganoderma lucidum and San Miao San (SMS), with purported diverse health benefits including antioxidant properties in rheumatoid arthritis (RA). METHODS: We randomly assigned 32 patients with active RA, despite disease-modifying antirheumatic drugs, to TCM and 33 to placebo in addition to their current medications for 24 weeks. [...] CONCLUSION: G lucidum and San Miao San may have analgesic effects for patients with active RA, and were generally safe and well tolerated. However, no significant antioxidant, antiinflammatory, or immunomodulating effects could be demonstrated."" Li et al (2007). 'Safety and efficacy of Ganoderma lucidum (lingzhi) and San Miao San supplementation in patients with rheumatoid arthritis: a double-blind, randomized, placebo-controlled pilot trial.' Arthritis Rheum 57/7, 1143-50. PMID: 17907228.","""Lingzhi and San-Miao-San capsules might exert a beneficial immunomodulatory effect in patients with rheumatoid arthritis."" Xi et al (2006). 'Immunomodulatory effects of lingzhi and san-miao-san supplementation on patients with rheumatoid arthritis.' Immunopharmacol. Immunotoxicol. 28/2, 197-200. PMID: 16873089.",,,,#,,,
lutein,1,eye health,general health,,compound,0.576,PubMd,http://www.ncbi.nlm.nih.gov/pubmed/11431456,,,"Among patients with patients with inherited retinal degeneration, ""there was no change in central vision after 6 months of lutein supplementation, but long-term influences on the natural history of these retinal degenerations require further study."" Aleman et al. (2001). 'Macular pigment and lutein supplementation in retinitis pigmentosa and Usher syndrome.' Invest Ophthalmol Vis Sci. 42/8, 1873-81. PMID: 11431456.","# ^ Richer, S., ARMD--pilot (case series) environmental intervention data. J Am Optom Assoc, 1999. 70(1): p. 24-36. PubMed","Berendschot, T.T., et al., Influence of lutein supplementation on macular pigment, assessed with two objective techniques. Invest Ophthalmol Vis Sci. 2000 Oct. 41(11): 3322-6; PubMed Free text","# ^ Duncan, J.L., et al., Macular pigment and lutein supplementation in choroideremia. Exp Eye Res, 2002. 74(3): p. 371-81. PubMed",,#,,,
lycopene,0,prostate cancer,"cancer, men",,compound,0.584,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16434593,,,"""We evaluated the association between intake of lycopene and specific tomato products and prostate cancer risk [...]. A total of 1,338 cases of prostate cancer were identified among 29,361 men during an average of 4.2 years of follow-up. [...] This large study does not support the hypothesis that greater lycopene/tomato product consumption protects from prostate cancer. Evidence for protective associations in subjects with a family history of prostate cancer requires further corroboration."" Kirsh et al (2006). 'A prospective study of lycopene and tomato product intake and risk of prostate cancer.' 15/1, 92-98. PMID: 16434593.",,,,,#,,,
magnesium,3,blood pressure,cardio,,mineral,0.37,Nutrition in Clinical Practice,http://ncp.sagepub.com/cgi/content/abstract/23/2/142,,,"""Magnesium plays a role in a number of chronic, disease-related conditions. [...] A major role for magnesium is in the regulation of blood pressure. While data are not entirely consistent, it does appear that an inverse relationship between magnesium intake and blood pressure is strongest for magnesium obtained from food rather than that obtained via supplements. Hypertension associated with preeclampsia appears to be alleviated when magnesium is administered; in addition, women with adequate intakes of magnesium are less likely to be affected by preeclampsia than those with an inadequate intake."" Champagne (2008). 'Magnesium in Hypertension, Cardiovascular Disease, Metabolic Syndrome, and Other Conditions: A Review.' Nutr. Clin. Pract. 23/2, 142-51.",,,,,#,,,
magnesium + vitamin B6,3,child ADHD,"mental health, children",,vitamin,2.96,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16846100,,http://www.ncbi.nlm.nih.gov/pubmed/16579066,"Among 40 children with ADHD, in almost all cases ""Mg-B6 regimen for at least two months significantly modified the clinical symptoms of the disease: namely, hyperactivity and hyperemotivity/aggressiveness were reduced, school attention was improved. In parallel, the Mg-B6 regimen led to a significant increase in Erc-Mg values. When the Mg-B6 treatment was stopped, clinical symptoms of the disease reappeared in few weeks together with a decrease in Erc-Mg values."" Mousain-Bosc et al (2006). 'Improvement of neurobehavioral disorders in children supplemented with magnesium-vitamin B6. I. Attention deficit hyperactivity disorders.' Magnes Res. 19/1, 46-52. PMID: 16846100.","Among 31 children with ADHD, aged 6-12, ""It was established that the administration of MAGNE-B6 led to improvements in the behavior, decreased the level of anxiety and aggression, improved both large- and small-scale mobility, decreased the level of synkinesis, increased the characteristics of attention, corrected the magnesium homeostasis, and favored normalization of the blood electrolytes."" Nogovitsina and Levitina (2006). PMID: 16579066.",,,,#,,,
melatonin,5,insomnia in the elderly,mental health,,compound,0.149,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18036082,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3150476/?tool=pubmed,""" The effects of 3-weeks prolonged-release melatonin 2 mg (PR-melatonin) versus placebo treatment were assessed in a multi-center randomized placebo-controlled study in 170 primary insomnia outpatients aged > or =55 years. Improvements in quality of sleep (QOS) the night before and morning alertness (BFW) were assessed using the Leeds Sleep Evaluation Questionnaire and changes in sleep quality (QON) reported on five categorical unit scales. Rebound insomnia and withdrawal effects following discontinuation were also evaluated. PR-melatonin significantly improved QOS, QON and BFW compared with placebo. The improvements in QOS and BFW were strongly correlated suggesting a beneficial treatment effect on the restorative value of sleep. These results were confirmed in a subgroup of patients with a greater symptom severity. There was no evidence of rebound insomnia or withdrawal effects following treatment discontinuation. The incidence of adverse events was low and most side-effects were judged to be of minor severity. PR-melatonin is the first drug shown to significantly improve quality of sleep and morning alertness in primary insomnia patients aged 55 years and older-suggesting more restorative sleep, and without withdrawal symptoms upon discontinuation.""","In a 6-12 month open-label study of 244 adults with insomnia, taking prolonged-release melatonin (PRM) significantly improved sleep quality and moderately improved daytime mood. It also passed safety tests. The best results were seen among older adults (55+). ""RESULTS: Of the 244 patients, 36 dropped out, 112 completed 6 months of treatment, and the other 96 completed 12 months of treatment. The mean number of nights by which patients reported sleep quality as ""good"" or ""very good"" was significantly higher during PRM than before treatment. There was no evidence of tolerance to PRM. Discontinuation of PRM was not associated with rebound insomnia or withdrawal symptoms; on the contrary, residual benefit was observed. PRM was well tolerated, and there was no suppression of endogenous melatonin production. CONCLUSION: Results support the efficacy and safety of PRM in primary insomnia patients aged 20-80 throughout 6-12 months of continuous therapy. PRM discontinuation even after 12 months was not associated with adverse events, withdrawal symptoms, or suppression of endogenous melatonin production.""","Adult outpatients (791, aged 18-80 years) with primary insomnia, were treated with placebo (2 weeks) and then randomized, double-blind to 3 weeks with prolonged-release melatonin PRM or placebo nightly. PRM patients continued whereas placebo completers were re-randomized 1:1 to PRM or placebo for 26 weeks with 2 weeks of single-blind placebo run-out. Main outcome measures were sleep latency derived from a sleep diary, Pittsburgh Sleep Quality Index (PSQI), Quality of Life (World Health Organzaton-5) Clinical Global Impression of Improvement (CGI-I) and adverse effects and vital signs recorded at each visit. RESULTS: On the primary efficacy variable, sleep latency, the effects of PRM (3 weeks) in patients with low endogenous melatonin regardless of age did not differ from the placebo, whereas PRM significantly reduced sleep latency compared to the placebo in elderly patients regardless of melatonin levels. The effects on sleep latency and additional sleep and daytime parameters that improved with PRM were maintained or enhanced over the 6-month period with no signs of tolerance. Most adverse events were mild in severity with no clinically relevant differences between PRM and placebo for any safety outcome. CONCLUSIONS: The results demonstrate short- and long-term efficacy and safety of PRM in elderly insomnia patients. Low melatonin production regardless of age is not useful in predicting responses to melatonin therapy in insomnia. The age cut-off for response warrants further investigation.
http://www.ncbi.nlm.nih.gov/pubmed/20712869","""In 6 double blind, randomised crossover trials, a total number of 95 patients (mean ages: 65-79 yrs) were treated. [...] There is sufficient evidence that low doses of melatonin improve initial sleep quality in selected elderly insomniacs. However, larger randomized controlled trials, with less strict inclusion criteria are necessary to yield evidence of effectiveness (i.e. clinical and subjective relevance) in geriatric patients who suffer from insomnia, before wide-spread use can be advocated."" Olde Rikkert and Rigaud (2001). 'Melatonin in elderly patients with insomnia. A systematic review.' Z. Gerontol. Geriat. 34/6, 491-97. PMID: 11828891. http://www.ncbi.nlm.nih.gov/pubmed/11828891","In a study of 30 insomniacs over 50 years old, ""the physiologic melatonin dose (0.3 mg) restored sleep efficiency, acting principally in the midthird of the night; it also elevated plasma melatonin levels to normal."" Control subjects were unaffected by melatonin. Zhdanova et al (2001). PMID: 11600532. http://www.ncbi.nlm.nih.gov/pubmed/11600532",http://www.ncbi.nlm.nih.gov/pubmed/9485533,http://www.ncbi.nlm.nih.gov/pubmed/19584739,http://www.ncbi.nlm.nih.gov/pubmed/19630367,http://www.ncbi.nlm.nih.gov/pubmed/21226679
methionine,0,,,,compound,0.561,,,,,n/a,,,,,#,,,
milk thistle,1,diabetes,diabetes,,plant / herb,1,,http://linkinghub.elsevier.com/retrieve/pii/S0168827897802553,,,"600 mg/d silymarin decreased fasting blood glucose levels, mean daily blood glucose levels, daily glucosuria and HbA1c levels after 4 months in a trial with 60 insulin-treated diabetics with alcoholic cirrhosis. Velussi et al (1997). 'Long-term (23 months) treatment with an anti-oxidant drug (silymarin) is effective on hyperinsulinemia, exogenous insulin need and malondialdehyde levels in cirrhotic diabetic patients.' J. Hepat. 26/4, 871-79.",,,,,#,,,
milk thistle,2,hepatitis,infections,,plant / herb,0.547,,http://journals.lww.com/jcge/Abstract/2008/09000/Silybin_Treatment_is_Associated_With_Reduction_in.13.aspx,,,"Testing of a standardized silybin and soy phosphatidylcholine complex serum marker of iron status on 37 patients with chronic hepatitis C and Batts-Ludwig fibrosis stage II, III, or IV was associated with reduced body iron stores, especially among patients with advanced fibrosis stage. Bares et al (2008).",Legalon showd benefit in a double-blind trial with 180 hepatitis patients for 40 days Tanasescu 1988,,,,#,,,
MSM,2,arthritis ,musculoskeletal,,compound,0.15,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16309928,,,"Kim LS, Axelrod LJ, Howard P, Buratovich N, Waters RF. Efficacy of methylsulfonylmethane (MSM) in osteoarthritis pain of the knee: a pilot clinical trial. Osteoarthritis Cartilage 2006;14(3):286–94. PMID 16309928",,,,,#,,,
N-acetylcarnosine (topical application),1,cataracts,general health,,other,0.34,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/12001824,X,,"Babizhayev et al. (2002). ""Efficacy of N-acetylcarnosine in the treatment of cataracts"". Drugs R D 3 (2): 87–103.","Babizhayev MA (Oct 2008). ""Ocular drug metabolism of the bioactivating antioxidant N-acetylcarnosine for vision in ophthalmic prodrug and codrug design and delivery"". Drug Dev Ind Pharm 34 (10): 1071–89. doi:10.1080/03639040801958413.",,,,#,,,
NAC,4,mental health,mental health,OTW,other,0.34,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/23369637,,http://www.ncbi.nlm.nih.gov/pubmed/21118657,"N-Acetylcysteine (NAC) targets a diverse array of factors germane to the pathophysiology of multiple neuropsychiatric disorders including glutamatergic transmission, the antioxidant glutathione, neurotrophins, apoptosis, mitochondrial function, and inflammatory pathways. This review summarises the areas where the mechanisms of action of NAC overlap with known pathophysiological elements, and offers a précis of current literature regarding the use of NAC in disorders including cocaine, cannabis, and smoking addictions, Alzheimer's and Parkinson's diseases, autism, compulsive and grooming disorders, schizophrenia, depression, and bipolar disorder. There are positive trials of NAC in all these disorders, and although many of these require replication and are methodologically preliminary, this makes it one of the most promising drug candidates in neuropsychiatric disorders. Trends Pharmacol Sci. 2013 Mar;34(3):167-77. PMID: 23369637","Whereas the mechanisms of NAC are only beginning to be understood, it is likely that NAC is exerting benefits beyond being a precursor to the antioxidant, glutathione, modulating glutamatergic, neurotropic and inflammatory pathways. This review outlines the current literature regarding the use of NAC in disorders including addiction, compulsive and grooming disorders, schizophrenia and bipolar disorder. N-acetylcysteine has shown promising results in populations with these disorders, including those in whom treatment efficacy has previously been limited. J Psychiatry Neurosci. 2011 Mar;36(2):78-86. PMID: 21118657","""A randomized, double-blind, multicenter, placebo-controlled study of individuals (n = 75) with bipolar disorder in the maintenance phase treated with NAC (1 g twice daily) adjunctive to usual medication over 24 weeks, with a 4-week washout.  [...] NAC appears a safe and effective augmentation strategy for depressive symptoms in bipolar disorder."" Berk et al (2008). 'N-acetyl cysteine for depressive symptoms in bipolar disorder--a double-blind randomized placebo-controlled trial.' Biol. Psychiatry 64/6, 468-75. PMID: 18534556.","""One hundred forty people with chronic schizophrenia on maintenance antipsychotic medication were randomized; 84 completed treatment. [...] These data suggest that adjunctive NAC has potential as a safe and moderately effective augmentation strategy for chronic schizophrenia."" Berk et al (2008). PMID: 18436195.",,#,,,
nettle,3,prostate-related urinary problems,"urinary, men",OTW,plant / herb,0.335,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16635963,,http://www.ncbi.nlm.nih.gov/pubmed/18038253,"Therapy with Urtica dioica (stinging nettle) for symptomatic relief of lower urinary tract symptoms secondary to benign prostatic hyperplasia in 620 patients showed beneficial effects. Safarinejad (2005). 'Urtica dioica for treatment of benign prostatic hyperplasia: a prospective, randomized, double-blind, placebo-controlled, crossover study.' J. Herb. Pharmacother. 5/4, 1-11. PMID: 16635963.",,,,,#,,,
niacin (vitamin B3),5,heart disease,cardio,,vitamin,0.201,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20208032,,http://www.ncbi.nlm.nih.gov/pubmed/9915658,"""CONCLUSIONS: In a meta-analysis of seven trials of secondary prevention [5,137 patients], niacin was associated with a significant reduction in cardiovascular events and possible small but non-significant decreases in coronary and cardiovascular mortality."" Duggal et al (2010). 'Effect of niacin therapy on cardiovascular outcomes in patients with coronary artery disease.' J. Cardiovasc. Pharmacol. Ther. 15/2, 158-66. PMID: 20208032.","""Niacin has been studied in 6 major clinical trials with cardiovascular endpoints. The Coronary Drug Project (CDP) was the largest of these trials and the only one to use niacin monotherapy affecting cardiovascular outcomes: recurrent myocardial infarction and cerebrovascular events were significantly decreased. After long-term (15 years) follow-up, total mortality was also found to be decreased. The other 5 trials used varying combinations of niacin with other pharmacologic agents, examining coronary and total mortality, coronary events, and angiographic progression/regression. Significant benefit was found in all trials except for one in patients with normal cholesterol levels at entry. Thus, the use of niacin to prevent or treat atherosclerotic cardiovascular disease is based on strong and consistent evidence from clinical trials."" Guyton (1998). 'Effect of niacin on atherosclerotic cardiovascular disease.' Am. J. Cardiol. 82/12A,18U-23U. PMID: 9915658.",,,,,,,
noni,0,,,,plant / herb,1.15,,,,,n/a,,,,,#,,,
olive leaf extract,4,"blood pressure, cholesterol",cardio,,plant / herb,1.9,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/21036583,,http://www.ncbi.nlm.nih.gov/pubmed/18729245,"""A double-blind, randomized, parallel and active-controlled clinical study was conducted to evaluate the anti-hypertensive effect as well as the tolerability of Olive leaf extract in comparison with Captopril in patients with stage-1 hypertension. Additionally, this study also investigated the hypolipidemic effects of Olive leaf extract in such patients. After 8 weeks of treatment, both groups experienced a significant reduction of SBP as well as DBP from baseline; while such reductions were not significantly different between groups. A significant reduction of triglyceride level was observed in Olive group, but not in Captopril group. In conclusion, Olive (Olea europaea) leaf extract, at the dosage regimen of 500 mg twice daily, was similarly effective in lowering systolic and diastolic blood pressures in subjects with stage-1 hypertension as Captopril, given at its effective dose of 12.5-25 mg twice daily."" Susalit et al (2011). 'Olive (Olea europaea) leaf extract effective in patients with stage-1 hypertension: comparison with Captopril.' Phytomedicine 18/4, 251-58. PMID: 21036583. ","""The olive leaf extract EFLA943, having antihypertensive actions in rats, was tested as a food supplement in an open study including 40 borderline hypertensive monozygotic twins. After 8 weeks, mean blood pressure remained unchanged from baseline in controls and the low-dose group, but had significantly decreased for the high dose group. Cholesterol levels decreased for all treatments with significant dose-dependent within-pair differences for LDL-cholesterol. Concluding, the study confirmed the antihypertensive and cholesterol-lowering action of EFLA943 in humans."" Perrinjacquet-Moccetti (2008). 'Food supplementation with an olive (Olea europaea L.) leaf extract reduces blood pressure in borderline hypertensive monozygotic twins.' Phytotherapy Res. 22/9, 1239-42. PMID: 18729245.",,,,,,,
omega 3,2,child ADHD,"mental health, children",,compound,2,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17435458,,http://www.ncbi.nlm.nih.gov/pubmed/18448859,"Among 132 Australian children ""Significant medium to strong positive treatment effects were found on parent ratings of core ADHD symptoms, inattention, hyperactivity/impulsivity, on the Conners Parent Rating Scale (CPRS) in both PUFA treatment groups compared with the placebo group. [...] CONCLUSION: These results add to preliminary findings that ADHD-related problems with inattention, hyperactivity, and impulsivity might respond to treatment with PUFAs and that improvements may continue with supplementation extending to 30 weeks."" Sinn and Bryan (2007). PMID: 17435458.","Among 75 children aged 8-18, ""A subgroup of children and adolescents with ADHD, characterized by inattention and associated neurodevelopmental disorders, treated with omega 3/6 fatty acids for 6 months responded with meaningful reduction of ADHD symptoms."" Johnson et al (2009). 'Omega-3/Omega-6 Fatty Acids for Attention Deficit Hyperactivity Disorder: A Randomized Placebo-Controlled Trial in Children and Adolescents.' J. Atten. Disord. PMID 18448859.",,,,#,,,
omega 3: ALA,1,heart disease,cardio,,compound,3.21,PubMed,"http://www.ncbi.nlm.nih.gov/pubmed/15890766?dopt=Abstract&holding=f1000,f1000m,isrctn",,http://www.ncbi.nlm.nih.gov/pubmed/19664246,"""OBJECTIVE: To determine whether dietary supplementation with alpha linolenic acid (ALA) can modify established and emerging cardiovascular risk markers. RESULTS: 14 studies with minimum treatment duration of four weeks were reviewed. CONCLUSIONS: Although ALA supplementation may cause small decreases in fibrinogen concentrations and fasting plasma glucose, most cardiovascular risk markers do not appear to be affected. Further trials are needed, but dietary supplementation with ALA to reduce cardiovascular disease cannot be recommended."" Wendland et al (2006). PMID: 15890766.","From full text: ""Singh et al. compared the effects of feeding ALA-rich mustard seed oil, fish oil, and a non-oil placebo to 360 patients hospitalized for suspected acute myocardial infarction (MI). They found that both oil supplements reduced CVD outcomes, including total cardiac events and non-fatal infarctions, but only the effects of the fish oil reached statistical significance. Further, fish oil but not mustard seed oil reduced the number of total cardiac deaths reported. Natvig et al. randomly assigned 13,578 healthy subjects to receive 10 ml flaxseed oil (5.5 g ALA) or 10 ml sunflower seed oil (0.14 g ALA) daily for a year and observed no significant cardiovascular benefit of ALA supplementation. Conversely, several studies assessing the effects of ALA intakes of between 1.8 and 6.3 g/d reported significant reductions or trends toward reduced numbers of CVD events. The validity of some trials mentioned here has been questioned by reviewers, citing multiple methodological issues such as inadequate randomization concealment, the use of a non-oil placebo, and even calculation errors in the published results. Accordingly, assertions cannot be confidently made regarding the potential of ALA to have cardioprotective effects, despite some intriguing study findings.""","""Although clinical benefits have not been seen consistently in all studies, most prospective observational studies suggest that ALA intake reduces the incidence of CHD, and two randomized trials have demonstrated that a dietary pattern that includes fruits, vegetables, whole grains, nuts or legumes, and ALA-rich foods substantially reduces the recurrence of CHD events. Additional observational and clinical studies will help establish the effects of ALA on CHD risk and determine whether such effects vary based on gender, duration of intake, background dietary intake of seafood, or other factors. Presently, the weight of the evidence favors recommendations for modest dietary consumption of ALA (2 to 3 g per day) for the primary and secondary prevention of CHD."" http://www.ncbi.nlm.nih.gov/pubmed/15945135",,,,,,
omega 6,0,cancer,cancer,,compound,0.462,Journal of the National Cancer Institute,http://jnci.oxfordjournals.org/cgi/content/abstract/97/21/1611?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=eveing+primrose+oil&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,,,No human studies.,,,,,#,,,
omega 6,4,heart health,cardio,,compound,2,American Heart Association,http://circ.ahajournals.org/cgi/reprint/CIRCULATIONAHA.108.191627,,,"""After extensive evaluation of the combined data from numerous randomized trials, case-control and cohort studies, and long-term animal feeding experiments, the present advisory indicated that the consumption of 5-10% of energy from omega-6 PUFA (mainly as LA) appears to significantly reduce the risk of CHD [Conorary Heart Disease] relative to lower intakes."" Harris et al (2009). 'Omega-6 Fatty Acids and Cardiovascular Disease.' Circulation 119/6, 902. ",,,,,#,,,
omega 9,0,,,,compound,0.079,,,,,n/a,,,,,#,,,
palm oil,0,,,,plant / herb,0.182,,,X,,n/a,,,,,#,,,
pancreatin,0,,,,enzyme,0.132,,,,,n/a,,,,,#,,,
papain,0,,,,enzyme,0.168,,,,,n/a,,,,,#,,,
pau d’arco,0,decongestant,general health,,plant / herb,0.122,,,,,n/a,,,,,#,,,
peppermint oil,4,IBS,digestion,,plant / herb,0.101,British Medical Journal,http://www.bmj.com/cgi/content/full/337/nov13_2/a2313,,,"""Four trials compared peppermint oil with placebo in 392 patients. [...] Fibre, antispasmodics, and peppermint oil were all more effective than placebo in the treatment of irritable bowel syndrome."" Ford et al (2008). 'Effect of fibre, antispasmodics, and peppermint oil in the treatment of irritable bowel syndrome: systematic review and meta-analysis.' BMJ 337. ","#  Cappello, G.; et al. (2007). ""Peppermint oil (Mintoil) in the treatment of irritable bowel syndrome: A prospective double blind placebo-controlled randomized trial"". Digestive and Liver Disease 39 (6): 530–536. doi:10.1016/j.dld.2007.02.006. 
",# ^ Bandolier Journal: Peppermint oil for irritable bowel syndrome,,,#,,,
phenyl-alanine,0,,,,compound,0.425,,,X,,n/a,,,,,#,,,
poly-phenols,1,heart disease,cardio,,compound,0.309,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/15640497,,,"""Data obtained to date suggest beneficial effects of both flavonoids and lignans on cardiovascular diseases but not on cancer, with the possible exception of lung cancer."" Arts and Holman (2005). PMID: 15640497.",,,,,#,,,
potassium,0,blood pressure,cardio,,mineral,0.329,,,,,n/a,,,,,#,,,
prebiotics,0,,,,other,0.077,,,X,,no studies yet,,,,,#,,,
prickly pear,0,diabetes,diabetes,,plant / herb,0.065,,,,,n/a,,,,,#,,,
probiotics,1,athletic performance,general health,,other,0.758,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17618005,,,"""A systematic review of the medical literature failed to identify any studies that directly investigated the potential ergogenic effects of probiotics on athletic performance. Two published articles suggest that probiotics may enhance the immune responses of fatigued athletes. In summary, although scientific evidence for an ergogenic effect of probiotics is lacking, probiotics may provide athletes with secondary health benefits that could positively affect athletic performance through enhanced recovery from fatigue, improved immune function, and maintenance of healthy gastrointestinal tract function."" Nichols (2007). 'Probiotics and athletic performance: A systematic review', Current Sports Medicine Reports (Current Medicine Group LLC) 6/4, 269–73. PMID: 17618005.",,,,,#,,,
probiotics,0,"cholesterol, blood pressure",cardio,,other,0.1,,,,,n/a,,,,,#,,,
probiotics,3,"IBS (B. infantis 35624 and B. coagulans GBI-30, 6086)",digestion,,other,1.12,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19277023,,http://www.postgradmed.org/doi/10.3810/pgm.2009.03.1984,"""Bifidobacterium infantis 35624 showed significant improvement in the composite score for abdominal pain/discomfort, bloating/distention, and/or bowel movement difficulty compared with placebo in two appropriately designed studies. No other probiotic showed significant improvement in IBS symptoms in an appropriately designed study. CONCLUSIONS: B. infantis 35624 has shown efficacy for improvement of IBS symptoms. Most RCTs about the utility of probiotics in IBS have not used an appropriate study design and do not adequately report adverse events. Therefore, there is inadequate data to comment on the efficacy of other probiotics."" Brenner et al (2009). PMID: 19277023.","""Objective: This preliminary controlled study was conducted to evaluate the effects of the probiotic Bacillus coagulans GBI-30, 6086 on IBS symptoms. Methods: This was a randomized, double-blind, parallel-group, placebo-controlled clinical trial involving 44 subjects who received either placebo or B coagulans GBI-30, 6086 once a day for 8 weeks. Conclusions: Preliminary data suggest that the patented B coagulans GBI-30, 6086 probiotic may be a safe and effective option for the relief of abdominal pain and bloating for patients with IBS. Larger, extended trials are needed to verify these results.""","""B. infantis 35624 is a probiotic that specifically relieves many of the symptoms of IBS. At a dosage level of 1 x 10(8) cfu, it can be delivered by a capsule making it stable, convenient to administer, and amenable to widespread use. The lack of benefits observed with the other dosage levels of the probiotic highlight the need for clinical data in the final dosage form and dose of probiotic before these products should be used in practice."" http://www.ncbi.nlm.nih.gov/pubmed/16863564",,,,,,
probiotics,3,"diarrhoea, gastrointenstinal and respiratory infections","digestion, infections",,other,0.825,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20107143,,http://www.ncbi.nlm.nih.gov/pubmed/16148529,"""The lack of consistency among studies focusing on 1 specific infection, in study design, applied probiotic strains, outcome parameters, and study population, along with the still limited number of studies, preclude clear and definite conclusions on the efficacy of probiotics and illustrate the need for better-aligned study designs and methodology. Exceptions were the management of infectious diarrhea in infants and traveler's diarrhea, antibiotic-associated diarrhea, and necrotizing enterocolitis. Sufficient consistent data exist for these applications to conclude that certain probiotics, under certain conditions, and in certain target populations, are beneficial in reducing the risk of infection. In addition, some evidence exists, although conclusions are premature, for the management of Helicobacter pylori infection and possible reduction of treatment side effects. Certain probiotics may also reduce the risk of various symptoms of respiratory tract infections in adults and children, including ear, nose, and throat infections, although data are currently far too limited to distill any clinical recommendations in this area. Positive but also negative results have been obtained in prevention of infectious complications in surgical and critically ill patients."" Wolvers et al (2010). 'Guidance for substantiating the evidence for beneficial effects of probiotics: prevention and management of infections by probiotics.' J. Nutr. 140/3, 698S-712S. PMID: 20107143.","""RECENT FINDINGS: Recent clinical studies have shown that probiotics can protect young children from diarrhoeal illness, including antibiotic-associated diarrhoea. They may also protect neonates from necrotizing enterocolitis. In adults, they can help prevent or reduce the severity of diarrhoeal illness, and ameliorate side-effects for those undergoing antibiotic therapy for infection. Researchers are looking at combining probiotics with prebiotics to enhance anti-inflammatory effects and restore colonization resistance of the commensal flora. New technologies are elucidating complex effects on gene expression in the gut, the probiotic, and bacterial pathogens. Recombinant strains capable of binding bacterial toxins are being developed as novel therapeutics against gastrointestinal infection. SUMMARY: Considering the clinical trial evidence of therapeutic benefit, probiotics are an underused treatment modality for prevention and amelioration of diarrhoeal illness. Better understanding of strain-specific effects, dosing regimens and any contraindications should help resolve this.""","""Several placebo-controlled trials indicated that lactobacilli have a suppressive effect on H pylori infection. Although some studies reported improvement in H pylori eradication, others failed to confirm this. Controlled trials support the use of Lactobacillus GG and S boulardii for the prevention of AAD, and have demonstrated the effectiveness of S boulardii as adjunctive therapy for RCDAD. Several placebo-controlled trials showed a reduction in the severity and duration of acute diarrhea in children with use of Lactobacillus GG. Studies of probiotics for the prevention of traveler's diarrhea yielded conflicting results, and their routine use cannot be recommended in this setting. Preliminary evidence suggests a potential role for reducing secondary pancreatic infections, although conclusive evidence is not available at this time. Additional clinical trials are indicated to define the role of probiotics further before wide-spread use can be recommended."" http://www.ncbi.nlm.nih.gov/pubmed/16880070","""Thirteen clinical trials have been published. In six (180 patients), a probiotic was used alone; five of these had an encouraging result-in three there were significantly reduced breath test readings and in two others some patients were cleared of infection. In seven further trials (682 patients), probiotics were added to a therapeutic regimen of antibiotics, resulting in an increased cure rate in two studies, and reduced side-effects in four. Trials in which fermented milk products or whole cultures of lactobacilli were used tended to show better results than when the probiotic was taken in the form of bacteria alone. Not all the studies were randomised, double-blind and placebo controlled, and some involved only small numbers of patients. The results suggest that probiotics may have a place as adjunctive treatment in H. pylori infections and possibly in prophylaxis."" http://www.ncbi.nlm.nih.gov/pubmed/14522098","""PARTICIPANTS: 571 healthy children aged 1-6 years Intervention: Milk with or without Lactobacillus GG. RESULTS: Children in the Lactobacillus group had fewer days of absence from day care because of illness. There was also a relative reduction of 17% in the number of children suffering from respiratory infections with complications and lower respiratory tract infections and a 19% relative reduction in antibiotic treatments for respiratory infection in the Lactobacillus group. CONCLUSIONS: Lactobacillus GG may reduce respiratory infections and their severity among children in day care. The effects of the probiotic Lactobacillus GG were modest but consistently in the same direction.""
http://www.ncbi.nlm.nih.gov/pubmed/11387176",,,,
